ID,Virus,Time,Band_Intensity,Origin,VirusDate,VirusDay
Y1L1,DWV,T1,5.55,Local,5/15/16,12
Y1L2,DWV,T1,6.22,Local,5/15/16,12
Y1L3,DWV,T1,0.52,Local,5/15/16,12
Y1L4,DWV,T1,1.14,Local,5/15/16,12
Y1L5,DWV,T1,1.84,Local,5/15/16,12
Y1L6,DWV,T1,0,Local,5/15/16,12
Y1L7,DWV,T1,1.37,Local,5/15/16,12
Y1L8,DWV,T1,0.44,Local,5/15/16,12
Y1L9,DWV,T1,0.17,Local,5/15/16,12
Y1L10,DWV,T1,1.18,Local,5/15/16,12
Y2L1,DWV,T1,0.53,Local,5/15/16,12
Y2L2,DWV,T1,0.18,Local,5/15/16,12
Y2L3,DWV,T1,3.47,Local,5/15/16,12
Y2L4,DWV,T1,1.57,Local,5/15/16,12
Y2L5,DWV,T1,0.29,Local,5/15/16,12
Y2L6,DWV,T1,1.46,Local,5/15/16,12
Y2L7,DWV,T1,0.49,Local,5/15/16,12
Y2L8,DWV,T1,2.6,Local,5/15/16,12
Y2L9,DWV,T1,0.81,Local,5/15/16,12
Y2L10,DWV,T1,8.77,Local,5/15/16,12
Y1C1,DWV,T1,0.04,California,5/15/16,12
Y1C2,DWV,T1,0.06,California,5/15/16,12
Y1C3,DWV,T1,NA,California,5/15/16,12
Y1C4,DWV,T1,0.18,California,5/15/16,12
Y1C5,DWV,T1,0.82,California,5/15/16,12
Y1C6,DWV,T1,0.44,California,5/15/16,12
Y1C7,DWV,T1,0.44,California,5/15/16,12
Y1C8,DWV,T1,2.22,California,5/15/16,12
Y1C9,DWV,T1,1.18,California,5/15/16,12
Y1C10,DWV,T1,0.26,California,5/15/16,12
Y2C1,DWV,T1,5.32,California,5/15/16,12
Y2C2,DWV,T1,2.25,California,5/15/16,12
Y2C3,DWV,T1,1.9,California,5/15/16,12
Y2C4,DWV,T1,1.91,California,5/15/16,12
Y2C6,DWV,T1,1.47,California,5/15/16,12
Y2C7,DWV,T1,0.6,California,5/15/16,12
Y2C8,DWV,T1,0.67,California,5/15/16,12
Y2C9,DWV,T1,0.39,California,5/15/16,12
Y2C10,DWV,T1,0.55,California,5/15/16,12
Y1L1,BQCV,T1,0.41,Local,5/15/16,12
Y1L2,BQCV,T1,0.47,Local,5/15/16,12
Y1L3,BQCV,T1,0.34,Local,5/15/16,12
Y1L4,BQCV,T1,0.39,Local,5/15/16,12
Y1L5,BQCV,T1,0.35,Local,5/15/16,12
Y1L6,BQCV,T1,0.28,Local,5/15/16,12
Y1L7,BQCV,T1,0.26,Local,5/15/16,12
Y1L8,BQCV,T1,0.05,Local,5/15/16,12
Y1L9,BQCV,T1,0.35,Local,5/15/16,12
Y1L10,BQCV,T1,0.06,Local,5/15/16,12
Y2L1,BQCV,T1,0.96,Local,5/15/16,12
Y2L2,BQCV,T1,0.47,Local,5/15/16,12
Y2L3,BQCV,T1,0.93,Local,5/15/16,12
Y2L4,BQCV,T1,0.7,Local,5/15/16,12
Y2L5,BQCV,T1,0.84,Local,5/15/16,12
Y2L6,BQCV,T1,0.54,Local,5/15/16,12
Y2L7,BQCV,T1,0.92,Local,5/15/16,12
Y2L8,BQCV,T1,0.77,Local,5/15/16,12
Y2L9,BQCV,T1,0.76,Local,5/15/16,12
Y2L10,BQCV,T1,0.49,Local,5/15/16,12
Y1C1,BQCV,T1,0.44,California,5/15/16,12
Y1C2,BQCV,T1,0.44,California,5/15/16,12
Y1C3,BQCV,T1,0.34,California,5/15/16,12
Y1C4,BQCV,T1,0.09,California,5/15/16,12
Y1C5,BQCV,T1,0.06,California,5/15/16,12
Y1C6,BQCV,T1,0.51,California,5/15/16,12
Y1C7,BQCV,T1,0.45,California,5/15/16,12
Y1C8,BQCV,T1,0.83,California,5/15/16,12
Y1C9,BQCV,T1,0.64,California,5/15/16,12
Y1C10,BQCV,T1,0.98,California,5/15/16,12
Y2C1,BQCV,T1,0.71,California,5/15/16,12
Y2C2,BQCV,T1,0.57,California,5/15/16,12
Y2C3,BQCV,T1,0.8,California,5/15/16,12
Y2C4,BQCV,T1,3.05,California,5/15/16,12
Y2C6,BQCV,T1,2.84,California,5/15/16,12
Y2C7,BQCV,T1,2.66,California,5/15/16,12
Y2C8,BQCV,T1,2.63,California,5/15/16,12
Y2C9,BQCV,T1,1.61,California,5/15/16,12
Y2C10,BQCV,T1,1.61,California,5/15/16,12
Y1L1,IAPV,T1,0.73,Local,5/15/16,12
Y1L2,IAPV,T1,0.64,Local,5/15/16,12
Y1L3,IAPV,T1,0.1,Local,5/15/16,12
Y1L4,IAPV,T1,0.06,Local,5/15/16,12
Y1L5,IAPV,T1,0.71,Local,5/15/16,12
Y1L6,IAPV,T1,0.11,Local,5/15/16,12
Y1L7,IAPV,T1,0.06,Local,5/15/16,12
Y1L8,IAPV,T1,0.06,Local,5/15/16,12
Y1L9,IAPV,T1,0.15,Local,5/15/16,12
Y1L10,IAPV,T1,3.14,Local,5/15/16,12
Y2L1,IAPV,T1,0,Local,5/15/16,12
Y2L2,IAPV,T1,0,Local,5/15/16,12
Y2L3,IAPV,T1,0.32,Local,5/15/16,12
Y2L4,IAPV,T1,0.04,Local,5/15/16,12
Y2L5,IAPV,T1,0,Local,5/15/16,12
Y2L6,IAPV,T1,3.05,Local,5/15/16,12
Y2L7,IAPV,T1,0.13,Local,5/15/16,12
Y2L8,IAPV,T1,0.31,Local,5/15/16,12
Y2L9,IAPV,T1,3.23,Local,5/15/16,12
Y2L10,IAPV,T1,0,Local,5/15/16,12
Y1C1,IAPV,T1,1.95,California,5/15/16,12
Y1C2,IAPV,T1,0.23,California,5/15/16,12
Y1C3,IAPV,T1,2.89,California,5/15/16,12
Y1C4,IAPV,T1,0.41,California,5/15/16,12
Y1C5,IAPV,T1,4.79,California,5/15/16,12
Y1C6,IAPV,T1,2.15,California,5/15/16,12
Y1C7,IAPV,T1,2.25,California,5/15/16,12
Y1C8,IAPV,T1,3.08,California,5/15/16,12
Y1C9,IAPV,T1,3.4,California,5/15/16,12
Y1C10,IAPV,T1,2.04,California,5/15/16,12
Y2C1,IAPV,T1,0.08,California,5/15/16,12
Y2C2,IAPV,T1,0.23,California,5/15/16,12
Y2C3,IAPV,T1,0,California,5/15/16,12
Y2C4,IAPV,T1,2.26,California,5/15/16,12
Y2C6,IAPV,T1,0.11,California,5/15/16,12
Y2C7,IAPV,T1,2.95,California,5/15/16,12
Y2C8,IAPV,T1,1.81,California,5/15/16,12
Y2C9,IAPV,T1,0.07,California,5/15/16,12
Y2C10,IAPV,T1,1.77,California,5/15/16,12
Y1L1,DWV,T2,1.01,Local,7/13/16,40
Y1L2,DWV,T2,1.14,Local,7/13/16,40
Y1L3,DWV,T2,5.83,Local,7/13/16,40
Y1L4,DWV,T2,1.04,Local,7/13/16,40
Y1L5,DWV,T2,0.8,Local,7/13/16,40
Y1L6,DWV,T2,1.11,Local,7/13/16,40
Y1L7,DWV,T2,0.69,Local,7/13/16,40
Y1L8,DWV,T2,1.35,Local,7/13/16,40
Y1L9,DWV,T2,0.33,Local,7/13/16,40
Y1L10,DWV,T2,0.13,Local,7/13/16,40
Y2L1,DWV,T2,0.09,Local,7/13/16,40
Y2L2,DWV,T2,0.35,Local,7/13/16,40
Y2L3,DWV,T2,0.2,Local,7/13/16,40
Y2L4,DWV,T2,0.47,Local,7/13/16,40
Y2L5,DWV,T2,0.19,Local,7/13/16,40
Y2L6,DWV,T2,0.34,Local,7/13/16,40
Y2L7,DWV,T2,1,Local,7/13/16,40
Y2L8,DWV,T2,1.16,Local,7/13/16,40
Y2L9,DWV,T2,0.87,Local,7/13/16,40
Y2L10,DWV,T2,0.66,Local,7/13/16,40
Y1C1,DWV,T2,0.54,California,7/13/16,40
Y1C2,DWV,T2,0.77,California,7/13/16,40
Y1C3,DWV,T2,0.17,California,7/13/16,40
Y1C4,DWV,T2,0.19,California,7/13/16,40
Y1C5,DWV,T2,NA,California,7/13/16,40
Y1C6,DWV,T2,NA,California,7/13/16,40
Y1C7,DWV,T2,NA,California,7/13/16,40
Y1C8,DWV,T2,NA,California,7/13/16,40
Y1C9,DWV,T2,1.25,California,7/13/16,40
Y1C10,DWV,T2,1.05,California,7/13/16,40
Y2C1,DWV,T2,1.05,California,7/13/16,40
Y2C2,DWV,T2,7.07,California,7/13/16,40
Y2C3,DWV,T2,NA,California,7/13/16,40
Y2C4,DWV,T2,7.07,California,7/13/16,40
Y2C6,DWV,T2,1.1,California,7/13/16,40
Y2C7,DWV,T2,1.22,California,7/13/16,40
Y2C8,DWV,T2,1.16,California,7/13/16,40
Y2C9,DWV,T2,NA,California,7/13/16,40
Y2C10,DWV,T2,9.74,California,7/13/16,40
Y1L1,BQCV,T2,3.67,Local,7/13/16,40
Y1L2,BQCV,T2,3.19,Local,7/13/16,40
Y1L3,BQCV,T2,3.23,Local,7/13/16,40
Y1L4,BQCV,T2,4.11,Local,7/13/16,40
Y1L5,BQCV,T2,3.43,Local,7/13/16,40
Y1L6,BQCV,T2,3.6,Local,7/13/16,40
Y1L7,BQCV,T2,3.69,Local,7/13/16,40
Y1L8,BQCV,T2,3.03,Local,7/13/16,40
Y1L9,BQCV,T2,2.35,Local,7/13/16,40
Y1L10,BQCV,T2,3.2,Local,7/13/16,40
Y2L1,BQCV,T2,2.67,Local,7/13/16,40
Y2L2,BQCV,T2,2.07,Local,7/13/16,40
Y2L3,BQCV,T2,3.47,Local,7/13/16,40
Y2L4,BQCV,T2,1.97,Local,7/13/16,40
Y2L5,BQCV,T2,3.84,Local,7/13/16,40
Y2L6,BQCV,T2,3.61,Local,7/13/16,40
Y2L7,BQCV,T2,2.24,Local,7/13/16,40
Y2L8,BQCV,T2,1.45,Local,7/13/16,40
Y2L9,BQCV,T2,3.04,Local,7/13/16,40
Y2L10,BQCV,T2,3.32,Local,7/13/16,40
Y1C1,BQCV,T2,3.29,California,7/13/16,40
Y1C2,BQCV,T2,4.15,California,7/13/16,40
Y1C3,BQCV,T2,3.95,California,7/13/16,40
Y1C4,BQCV,T2,2.9,California,7/13/16,40
Y1C5,BQCV,T2,NA,California,7/13/16,40
Y1C6,BQCV,T2,NA,California,7/13/16,40
Y1C7,BQCV,T2,NA,California,7/13/16,40
Y1C8,BQCV,T2,NA,California,7/13/16,40
Y1C9,BQCV,T2,3.59,California,7/13/16,40
Y1C10,BQCV,T2,3.86,California,7/13/16,40
Y2C1,BQCV,T2,2.18,California,7/13/16,40
Y2C2,BQCV,T2,NA,California,7/13/16,40
Y2C3,BQCV,T2,4.13,California,7/13/16,40
Y2C4,BQCV,T2,3.02,California,7/13/16,40
Y2C6,BQCV,T2,3.93,California,7/13/16,40
Y2C7,BQCV,T2,3.18,California,7/13/16,40
Y2C8,BQCV,T2,3.03,California,7/13/16,40
Y2C9,BQCV,T2,NA,California,7/13/16,40
Y2C10,BQCV,T2,1.79,California,7/13/16,40
Y1L1,IAPV,T2,0.27,Local,7/13/16,40
Y1L2,IAPV,T2,2.55,Local,7/13/16,40
Y1L3,IAPV,T2,3.31,Local,7/13/16,40
Y1L4,IAPV,T2,4.22,Local,7/13/16,40
Y1L5,IAPV,T2,0.48,Local,7/13/16,40
Y1L6,IAPV,T2,0.56,Local,7/13/16,40
Y1L7,IAPV,T2,0.11,Local,7/13/16,40
Y1L8,IAPV,T2,0.63,Local,7/13/16,40
Y1L9,IAPV,T2,0.23,Local,7/13/16,40
Y1L10,IAPV,T2,3.07,Local,7/13/16,40
Y2L1,IAPV,T2,0,Local,7/13/16,40
Y2L2,IAPV,T2,0.1,Local,7/13/16,40
Y2L3,IAPV,T2,1.28,Local,7/13/16,40
Y2L4,IAPV,T2,0,Local,7/13/16,40
Y2L5,IAPV,T2,1.39,Local,7/13/16,40
Y2L6,IAPV,T2,0.11,Local,7/13/16,40
Y2L7,IAPV,T2,1.24,Local,7/13/16,40
Y2L8,IAPV,T2,0.04,Local,7/13/16,40
Y2L9,IAPV,T2,0.03,Local,7/13/16,40
Y2L10,IAPV,T2,0.08,Local,7/13/16,40
Y1C1,IAPV,T2,0.77,California,7/13/16,40
Y1C2,IAPV,T2,0.63,California,7/13/16,40
Y1C3,IAPV,T2,3.76,California,7/13/16,40
Y1C4,IAPV,T2,3.3,California,7/13/16,40
Y1C5,IAPV,T2,NA,California,7/13/16,40
Y1C6,IAPV,T2,NA,California,7/13/16,40
Y1C7,IAPV,T2,NA,California,7/13/16,40
Y1C8,IAPV,T2,NA,California,7/13/16,40
Y1C9,IAPV,T2,0.5,California,7/13/16,40
Y1C10,IAPV,T2,3.96,California,7/13/16,40
Y2C1,IAPV,T2,0,California,7/13/16,40
Y2C2,IAPV,T2,NA,California,7/13/16,40
Y2C3,IAPV,T2,4.21,California,7/13/16,40
Y2C4,IAPV,T2,3.55,California,7/13/16,40
Y2C6,IAPV,T2,3.01,California,7/13/16,40
Y2C7,IAPV,T2,3.23,California,7/13/16,40
Y2C8,IAPV,T2,2.85,California,7/13/16,40
Y2C9,IAPV,T2,NA,California,7/13/16,40
Y2C10,IAPV,T2,0.45,California,7/13/16,40